unique;id;round;agentNum;agentName;parPro;parGender;stimulus;offerAg;offerPar;accepted;age;edu;relationship;atgM;status;masculinity;0;1;2;3;4;5;Zstatus;Zmasculinity
i3r1;3;1;2;Karolina;0;0;2;4;6;1;23;3;2;0;37;59;0;0,812897980000002;0,242466690000001;-0,720297729999999;-1,975113570000000;-3,273492510000000;-0,45824;0,25243
i3r2;3;2;1;Tomek;0;0;0;4;6;1;23;3;2;0;55;35;0;0,961917920000005;0,146713620000000;-0,798799380000005;-0,798799380000005;-0,364785990000001;0,25728;-1,14567
i3r3;3;3;2;Karolina;1;0;2;6;4;1;23;3;2;0;37;59;0;1,182985710000000;1,558825240000000;3,092468580000000;2,781798020000000;2,242901220000010;-0,45824;0,25243
i3r4;3;4;1;Tomek;1;0;0;6;4;0;23;3;2;0;55;35;0;-5,547718340000000;-5,771800450000000;-6,657633210000000;-7,239025389999990;-4,869054410000000;0,25728;-1,14567
i3r5;3;5;1;Tomek;1;0;1;5;5;1;23;3;2;0;55;35;0;-0,177659329999997;0,178410540000002;3,395281800000010;3,847108470000010;5,164053160000010;0,25728;-1,14567
i3r6;3;6;2;Karolina;0;0;2;7;3;0;23;3;2;0;37;59;0;0,612857759999997;2,005074909999990;1,723222839999990;3,440697129999990;4,027556969999990;-0,45824;0,25243
i3r7;3;7;2;Karolina;0;0;1;7;3;1;23;3;2;0;37;59;0;0,612252709999993;0,921682579999995;4,142986140000000;4,748523440000000;5,156785070000000;-0,45824;0,25243
i3r8;3;8;1;Tomek;1;0;0;4;6;1;23;3;2;0;55;35;0;-0,286664380000005;-0,071832380000004;-0,854717089999994;-3,858485460000000;-2,517811190000000;0,25728;-1,14567
i3r9;3;9;2;Karolina;1;0;2;3;7;0;23;3;2;0;37;59;0;-1,447468939999990;-1,515256740000000;-1,852673569999990;-2,387318560000000;-1,311587070000000;-0,45824;0,25243
i3r10;3;10;1;Tomek;1;0;2;4;6;0;23;3;2;0;55;35;0;0,270541420000001;-2,042934580000010;-2,427670190000000;-1,263226480000000;-0,402783679999999;0,25728;-1,14567
i3r11;3;11;1;Tomek;0;0;2;4;6;1;23;3;2;0;55;35;0;-1,822231220000010;-1,689760050000000;-4,702194360000010;-7,285397530000000;-3,381738610000000;0,25728;-1,14567
i3r12;3;12;2;Karolina;1;0;1;5;5;1;23;3;2;0;37;59;0;0,521333120000008;1,582715870000000;3,502569960000000;-1,213941150000000;-5,182911019999990;-0,45824;0,25243
i3r13;3;13;2;Karolina;0;0;2;4;6;1;23;3;2;0;37;59;0;0,183804940000002;2,194625670000010;0,368400449999996;-1,324222289999990;1,177575240000000;-0,45824;0,25243
i3r14;3;14;1;Tomek;0;0;2;4;6;1;23;3;2;0;55;35;0;3,108788160000000;3,796438580000000;6,593095600000000;9,005815459999990;9,289839800000000;0,25728;-1,14567
i3r15;3;15;2;Karolina;1;0;2;4;6;0;23;3;2;0;37;59;0;-1,668161059999990;-1,940334709999990;-2,747120679999990;-4,253810710000000;-2,143392990000000;-0,45824;0,25243
i3r16;3;16;1;Tomek;1;0;1;5;5;0;23;3;2;0;55;35;0;-1,576132840000000;-2,670524090000000;-4,853507380000000;-5,468215989999990;-4,508369570000000;0,25728;-1,14567
i3r17;3;17;2;Karolina;0;0;0;7;3;1;23;3;2;0;37;59;0;-1,157654369999990;-2,089124759999990;0,276739200000009;0,346187260000008;1,329678660000000;-0,45824;0,25243
i3r18;3;18;1;Tomek;1;0;2;4;6;0;23;3;2;0;55;35;0;-1,231853120000000;-0,196801530000002;-1,423239670000000;-0,782008160000004;0,263765690000000;0,25728;-1,14567
i3r19;3;19;2;Karolina;0;0;0;4;6;1;23;3;2;0;37;59;0;-1,834189290000000;-3,055250149999990;-2,265531869999990;-3,115395819999990;-1,957872069999990;-0,45824;0,25243
i3r20;3;20;1;Tomek;0;0;2;4;6;1;23;3;2;0;55;35;0;1,758210839999990;1,938138150000000;3,530112149999990;6,631566879999990;5,769844580000000;0,25728;-1,14567
i3r21;3;21;1;Tomek;0;0;0;7;3;1;23;3;2;0;55;35;0;0,201541800000001;0,539465260000000;2,550642319999990;1,916954789999990;4,137200799999990;0,25728;-1,14567
i3r22;3;22;2;Karolina;0;0;1;4;6;1;23;3;2;0;37;59;0;-0,521215329999990;0,754671410000000;1,676292650000010;1,059915510000010;0,678663929999999;-0,45824;0,25243
i3r23;3;23;2;Karolina;0;0;1;4;6;1;23;3;2;0;37;59;0;0,417643110000000;-0,276319419999993;-0,959846419999991;-3,401942879999990;-1,432231570000000;-0,45824;0,25243
i3r24;3;24;1;Tomek;1;0;2;3;7;0;23;3;2;0;55;35;0;0,211550910000000;-0,420199459999992;-0,489859330000002;0,282284529999998;-2,597899799999990;0,25728;-1,14567
i3r25;3;25;2;Karolina;1;0;0;3;7;1;23;3;2;0;37;59;0;-1,222847950000000;0,723755639999993;-0,130332220000000;-0,389848350000008;1,797878500000000;-0,45824;0,25243
i3r26;3;26;1;Tomek;0;0;2;7;3;1;23;3;2;0;55;35;0;-1,154251249999990;-1,969285500000000;-1,154251249999990;-1,720134169999990;-1,595018439999990;0,25728;-1,14567
i3r27;3;27;1;Tomek;0;0;2;4;6;1;23;3;2;0;55;35;0;-1,148982480000000;-2,657901499999990;-2,008148620000000;-2,463978200000000;-2,915142840000000;0,25728;-1,14567
i3r28;3;28;2;Karolina;1;0;2;3;7;0;23;3;2;0;37;59;0;-0,124755170000000;-0,186998029999998;2,705627710000000;1,139211669999990;0,313468810000003;-0,45824;0,25243
i3r29;3;29;2;Karolina;1;0;0;6;4;0;23;3;2;0;37;59;0;-1,318424550000000;-2,530233270000010;-5,590753360000010;-4,727748710000000;-5,656450910000000;-0,45824;0,25243
i3r30;3;30;1;Tomek;1;0;2;6;4;1;23;3;2;0;55;35;0;1,048124030000000;1,545551620000000;1,760383620000000;0,486139809999997;-0,344093119999997;0,25728;-1,14567
i3r31;3;31;2;Karolina;1;0;1;5;5;0;23;3;2;0;37;59;0;-0,938445250000001;-1,662200889999990;-3,389880230000000;-4,930503380000000;-4,197890720000000;-0,45824;0,25243
i3r32;3;32;1;Tomek;0;0;2;4;6;1;23;3;2;0;55;35;0;1,030672820000010;3,010902640000000;2,574394750000000;4,690734990000000;6,800690020000000;0,25728;-1,14567
i3r33;3;33;2;Karolina;1;0;0;2;8;0;23;3;2;0;37;59;0;-2,627682960000000;-2,127216120000000;-3,914388530000000;-3,183861640000000;-0,655528509999996;-0,45824;0,25243
i3r34;3;34;1;Tomek;1;0;2;2;8;0;23;3;2;0;55;35;0;0,343053170000005;-1,346706880000000;-3,229793200000000;-1,280323450000000;-2,070462519999990;0,25728;-1,14567
i3r35;3;35;2;Karolina;0;0;2;4;6;1;23;3;2;0;37;59;0;1,642850060000000;1,642850060000000;2,874389190000000;4,388852320000000;5,009946220000000;-0,45824;0,25243
i3r36;3;36;1;Tomek;1;0;2;1;9;1;23;3;2;0;55;35;0;-0,592160449999994;-0,395649609999992;0,066284800000005;2,800976930000000;2,871493820000010;0,25728;-1,14567
i3r37;3;37;1;Tomek;0;0;0;4;6;1;23;3;2;0;55;35;0;-2,091766449999990;-3,288183500000000;-1,963895960000000;-1,578032910000000;-0,598347239999995;0,25728;-1,14567
i3r38;3;38;2;Karolina;1;0;0;6;4;0;23;3;2;0;37;59;0;-0,460567220000001;-2,381657379999990;-1,877557360000000;-5,346454940000000;-5,112052130000000;-0,45824;0,25243
i3r39;3;39;2;Karolina;0;0;1;4;6;1;23;3;2;0;37;59;0;-1,833213759999990;-1,899696039999990;-2,362316330000000;-2,164638819999990;-1,162904700000000;-0,45824;0,25243
i3r40;3;40;1;Tomek;0;0;1;7;3;1;23;3;2;0;55;35;0;-0,812682860000010;1,935201909999990;2,067280279999990;2,733599349999990;2,733599349999990;0,25728;-1,14567
i4r1;4;1;1;Tomek;0;0;2;4;6;1;26;4;0;0;64;57;0;5,076159220000010;5,880691830000000;4,467390200000000;4,527877980000000;2,518358370000000;0,61504;0,13593
i4r2;4;2;2;Karolina;1;0;1;4;6;0;26;4;0;0;25;39;0;1,003315340000000;4,229839590000000;0,577781160000001;-1,833693350000000;1,003315340000000;-0,93525;-0,91265
i4r3;4;3;1;Tomek;1;0;2;5;5;1;26;4;0;0;64;57;0;2,838153060000000;3,154768089999990;3,741833959999990;10,000635400000000;5,668663970000000;0,61504;0,13593
i4r4;4;4;2;Karolina;0;0;2;8;2;0;26;4;0;0;25;39;0;0,259184190000013;-0,462270980000000;0,207210940000010;2,615774720000000;1,047076560000010;-0,93525;-0,91265
i4r5;4;5;2;Karolina;0;0;2;4;6;1;26;4;0;0;25;39;0;-0,630875019999991;2,012343360000000;2,622850490000000;2,012343360000000;3,933799210000000;-0,93525;-0,91265
i4r6;4;6;1;Tomek;0;0;1;1;9;1;26;4;0;0;64;57;0;3,231381750000000;-0,615962400000001;-0,768451150000004;2,674536940000000;1,637096250000000;0,61504;0,13593
i4r7;4;7;1;Tomek;1;0;0;3;7;1;26;4;0;0;64;57;0;-0,999333780000001;2,697925900000000;2,301412950000000;-0,999333780000001;1,630456200000000;0,61504;0,13593
i4r8;4;8;2;Karolina;1;0;0;6;4;0;26;4;0;0;25;39;0;-1,930560780000010;1,865676609999990;0,261240529999995;-0,465921710000003;2,084519239999990;-0,93525;-0,91265
i4r9;4;9;1;Tomek;0;0;1;4;6;1;26;4;0;0;64;57;0;0,328708440000000;-2,228535420000000;-2,741164240000000;0,604679120000000;-1,865676609999990;0,61504;0,13593
i4r10;4;10;2;Karolina;0;0;0;4;6;1;26;4;0;0;25;39;0;3,565365030000000;0,876577839999996;-1,384923510000010;-0,591792380000001;1,378078629999990;-0,93525;-0,91265
