met;lp;para;nar;plec;kzam;wiek;zwiaz;dem.p;dem.n;ak.n;ak.p;fzk;gtr;hdf;ssup;z.os;z.za;z;ag.s;ag.w;fch;asi;DLUGOSC_POBYTU_MIESIAC;DELIKATNOSC;SPRAWCZOSC_WSPOLNOTOWA;PRZEBOJOWOSC;CZYNNIK_TROJELEMENTOWY;SPRAWCZOSC_BEZ_AGRESJI;SEXUAL_PREJUDICE_rightDirection;POBYT_NORWEGIA
1;143; ;0;0;0;25;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ;0; ; ;1
1;144; ;0;0;1;40;-1;88.5;71;100;98.25;73.4285714285714;62.6666666666667;100; ;114.5; ; ;83.3333333333333;77;66.75;45.1818181818182;58;68.25;97.25;100;1;100;46.8;0
1;145; ;0;0;1;38;-1;79.25;15;43;100;75.5714285714286;59.5;60; ; ;16.7142857142857; ;60.6666666666667;100;39;50.8636363636364;37;100;96.5;59.3333333333333;1;72.8;79.2;0
1;146; ;0;0;0;22;-1; ; ; ; ;15;39.3333333333333;44.75; ;80.6666666666667;68.5714285714286;69.4;71.3333333333333;68.3333333333333;58.75;63.6363636363636;999;67.25;83.25;78.6666666666667;0;85.6;44.2;0
1;147; ;0;0;0;23;-1; ; ; ; ;56.7142857142857;19;56;63.25;42.6666666666667;22;28.9333333333333;65.1666666666667;90.1666666666667;100;77;999;92.75;87.75;70;0;78.2;63.4;0
1;148; ;0;0;1;41;-1;21.25;40.75;73.25;33.75;2.14285714285714;48.1666666666667;90; ;110.833333333333; ; ;66.8333333333333;64.1666666666667;93.75;25.5909090909091;14;66.25;72.75;76.6666666666667;1;80.2;11;0
1;149; ;0;0;1;39;-1;26.25;1.25;69;62;78;50.6666666666667;100; ; ;75.1428571428571; ;73;94.5;61.75;79.3636363636364;20;92.25;97.75;81.6666666666667;1;87.6;57.4;0
1;150; ;0;0;0;22;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ;0; ; ;1
1;151; ;0;0;0;24;-1; ; ; ; ;14.4285714285714;87;36.25; ;73.6666666666667;67.4285714285714;66.8;59.1666666666667;89.6666666666667;76.25;54.6363636363636;999;85.5;90.25;63.3333333333333;0;71;54.2;0
1;152; ;0;0;0;24;-1; ; ; ; ;64.5714285714286;42.6666666666667;44; ;82.1666666666667;46.1428571428571;59.2666666666667;45.6666666666667;79.8333333333333;70.25;67.3636363636364;999;79;73.75;47.3333333333333;0;54.8;82.8;0
1;153; ;0;0;0;23;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ;0; ; ;1
1;154; ;0;0;0;25;-1; ; ; ; ;14.5714285714286;59.3333333333333;69.75; ;67;80;70.1333333333333;73.8333333333333;74;82.5;60.3636363636364;999;68.25;88.5;86.6666666666667;0;88.6;13.8;0
1;155; ;0;0;0;22;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ;0; ; ;0
1;156; ;0;0;0;22;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ;0; ; ;1
1;157; ;0;0;0;22;-1; ; ; ; ;69.5714285714286;71.6666666666667;57.5; ;97.8333333333333;77.8571428571429;82.1333333333333;70.1666666666667;82.5;86.5;4.40909090909091;999;82.25;87;79.6666666666667;0;84.2;0.200000000000003;1
1;158; ;0;0;1;29;-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20; ; ; ;1; ; ;0
