met	nar	plec	zamiesz	wiek	zwiaz	ksiaz	dem.p	dem.n	ak.n	ak.p	fzk	gt.t	gt.c	gtr	hdf	fwc	ssup	z	fzp	cai	ag.s	ag.w	h	fch	asi.b	asi.h	asi	pobyt_mes	delikatnosc	spraw_wspolnotowa	przebojowosc	czynnik_3elem	sprawczosc_bez_agresji
papier	polska	kobieta	Norwegia	 	 	6	1	65	73	500	33	25	61	25	22	 	59	5	62	71	75	16	4	12	60	55	6	51	3,33333E+12	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	59	29	500	39	76	5	63	1,42857E+12	6,66667E+12	58	65	275	17	12	71	2	51	64	3,33333E+12	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	78	71	150	69	75	64	32	63	24	 	64	5	2	63	6	45	48	3,33333E+12	57	48	25	59	75	57	25	54	75	82
papier	polska	m??czyzna	Norwegia	 	 	68	74	 	 	69	66	25	78	20	 	3,33333E+12	3,33333E+12	51	75	58	4	53	8	58	59	6	55	51	5	52	75	73	5
papier	polska	kobieta	Norwegia	 	 	100	62	400	61	5	45	65	7,14286E+12	71	 	6,66667E+12	5	6	6	0	84	6	56	2	59	6,66667E+12	100	50	17	75	66	5	25
papier	polska	m??czyzna	Norwegia	 	 	50	50	100	68	53	75	88	5,71429E+12	73	 	3,33333E+12	8,33333E+12	36	5	2	63	58	6	75	3,33333E+12	100	21	62	25	36	25	10	25
papier	polska	kobieta	Norwegia	 	 	6	0	100	80	400	60	67	100	85	78	63	8,33333E+12	0	4	75	4	60	8	100	100	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	100	100	200	59	25	100	79	6,66667E+12	 	56	25	11	6	25	8	90	69	4	67	3,33333E+12	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	100	100	500	49	30	60	7,14286E+12	61	 	3,33333E+12	3,33333E+12	36	4	21	8	86	6	58	68	6,66667E+12	89	5	25	5	51	55	17
papier	polska	m??czyzna	Norwegia	 	 	100	100	100	93	75	81	100	100	68	 	6,66667E+12	6,66667E+12	4	21	6	68	4	49	6	68	93	16	75	55	25	47	5	0
papier	polska	kobieta	Norwegia	 	 	0	0	400	68	48	67	85	68	6,66667E+12	48	3,33333E+12	3,33333E+12	0	78	8	61	2	29	3,33333E+12	75	16	23	5	47	5	0	88	1,66667E+12
papier	polska	m??czyzna	Norwegia	 	 	0	0	200	79	47	93	100	85	 	3,33333E+12	49	5	92	4	80	55	6,66667E+12	90	5	20	75	44	75	32	75	12	5	102
papier	polska	kobieta	Norwegia	 	 	 	 	48	48	 	 	47	25	53	5,71429E+12	85	66	71	5	20	 	 	100	30	8	100	49	6	100	100	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	78	52	 	 	46	16	42	25	8	6,66667E+12	 	52	25	77	4	6	6	37	6	40	16	3,33333E+12	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	54	54	 	 	80	5	75	86	5	69	 	3,33333E+12	52	5	65	8	0	79	55	2	83	57	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	100	50	 	 	66	25	75	68	75	83	 	3,33333E+12	5	11	2	2	6	63	60	2	57	6,66667E+12	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	56	75	75	25	3,33333E+12	 	60	5	80	75	16	125	19	2	0	62	4	49	66	100	35	55
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	75	16	5	73	4,28571E+12	 	54	6,66667E+12	57	5	66	43	375	23	6	8	6	45	4	38	4	41
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	5	15	76	61	6,66667E+12	54	17	25	0	0	41	2	61	8	85	100	26	39	59	25	13	5
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	29	57	87	4,28571E+12	67	3,33333E+12	61	5	20	25	42	8	12	8	63	2	21	8	34	3,33333E+12	100	23
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	5	5	25	75	55	40	 	 	48	75	42	375	45	0	60	39	2	53	6,66667E+12	64	5	25
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	25	12	75	80	1,42857E+12	6,66667E+12	1,66667E+12	60	3,33333E+12	64	57	25	43	125	0	0	40	2	43	2	47	6,66667E+12
papier	polska	kobieta	Norwegia	 	 	83	62	400	56	25	26	87	24	8,57143E+12	69	 	29	45	2	3	4	62	59	4	67	6,66667E+12	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	70	82	200	62	75	15	1,42857E+12	50	3,33333E+12	 	3,33333E+12	8,33333E+12	875	0	16	6	60	4	69	8	100	78	5	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	5	2	48	48	200	82	25	89	5,71429E+12	67	51	52	33	2	41	6	66	52	39	75	28	67	75	32	25	68	8,33333E+12	58
papier	polska	m??czyzna	Norwegia	 	 	4	1	65	51	 	 	 	73	75	8,57143E+12	3,33333E+12	6,66667E+12	61	5	53	75	59	8	56	39	4	62	6	76	3,33333E+12	71	75	70
papier	polska	kobieta	Norwegia	 	 	56	56	400	59	25	29	94	5	33	3,33333E+12	 	46	5	29	4	5	8	83	6	46	45	61	5	25	48	75	56	25
papier	polska	m??czyzna	Norwegia	 	 	74	48	200	46	75	38	57	25	43	63	 	3,33333E+12	44	38	8	33	6	44	2	54	4	49	69	75	22	5	72	5
papier	polska	kobieta	Norwegia	 	 	0	0	700	52	75	61	71	75	41	6,66667E+12	38	1,66667E+12	625	21	19	6	55	4	42	8	64	78	75	 	 	 	 	 
