met;lp;para;nar;plec;kzam;wiek;zamodrok;krajnadl;zwiaz;sch.1;sch.2;sch.3;sch.4;sch.5;sch.6;sch.7;sch.8;sch.9;sch.10;sch.11;sch.12;sch.13;w.p;w.rodz;k.oj;k.ma;ksiaz;dem.p;dem.n;ak.n;ak.p;fzk;gl.p.n;gl.p.p;gl.w;gt.t;gt.c;gtr;self.n;self.w;hdf;nat;wfc;fwc;wsh;htask;dec;ssup;par.pe;par.de;par.po;par.un;z.os;z.za;z;fzp;cai;ag.s;ag.w;h;fch;asi.b;asi.h;asi;DLUGOSC_POBYTU_MIESI¥C;DELIKATNOSC;SPRAWCZOSC_WSPOLNOTOWA;PRZEBOJOWOSC;CZYNNIK_TROJELEMENTOWY;SPRAWCZOSC_BEZ_AGRESJI;SJT_DELTA;SEXUAL_PREJUDICE_rightDirection;GLOBE_war_oneItem;POBYT_NORWEGIA;ZWIAZEK_DUAL
papier;655;180;polska;kobieta;Norwegia; ;2012; ;inny zwi¹zek nieformalny;65,00;64,00;70,00;69,00;73,00;77,00;75,00;64,00;67,00;66,00;80,00;65,00;77,00;6,00;1,00;65,00;73,00;500,00;33,25;65,00;75,25;61,25;66,71;22,00;72,33; ;62,33;59,67;51,33;72,67;42,50;62,00;71,75;16,40;12,00;60,00;55,60;51,33; ; ; ; ; ;88,50;78,00;76,73;61,00;59,60;64,17;58,00;54,00;61,75;48,09;51,39;49,74;28,00;54,25;70,25;78,33;Polska Norwegia;77,00;46,57;46,00;23,00;0,00;1,00
papier;656;180;polska;mê¿czyzna;Norwegia; ;2009; ;inny zwi¹zek nieformalny;57,00;72,00;72,00;75,00;72,00;66,00;73,00;60,00;64,00;66,00;75,00;60,00;76,00;6,00;3,00;59,00;29,00;500,00;39,25;69,50;76,50;63,25;65,14;24,00;73,67; ;60,00;58,00;51,00;71,67;61,00;57,75;65,03;17,00;12,00;71,20;51,00;64,33; ; ; ; ; ;79,83;72,29;70,73;65,71;82,60;62,83; ;55,40;75,00; ;36,73; ;59,00; ;76,00;72,33;Polska Norwegia;75,40;58,86;44,60;43,00;0,00;1,00
papier;657;179;polska;kobieta;Norwegia; ;2014; ;ma³¿eñstwo;44,00;59,00;30,00;66,00;47,00;70,00;34,00;71,00;44,00;75,00;34,00;62,00;74,00;4,00;2,00;78,00;71,00;150,00;69,75;64,00;35,25;49,00;32,00;63,00;24,33; ;59,00;30,00;64,50;50,00;51,50;59,50;64,50;63,00;57,20;63,60;45,00;48,33;57,00;48,25;59,75;57,25;54,75;82,67;65,86;69,33;67,71;18,80;34,83;65,67;20,00;43,00;64,82;59,64;62,23;8,00;63,25;50,50;49,33;Polska Norwegia;41,80;18,71;80,00;85,00;0,00;1,00
papier;658;179;polska;mê¿czyzna;Norwegia; ;2010; ;ma³¿eñstwo;51,00;72,00;56,00;74,00;89,00;64,00;79,00;66,00;80,00;55,00;74,00;77,00;77,00;3,00;0,00;68,00;74,00; ;69,00;66,00;71,75;55,25;78,00;20,33;84,00; ;30,33;59,67;35,33;57,67;46,50;57,50;51,75;58,40;53,80;58,00;59,60;55,00;51,50;52,75;73,50;58,25;60,25;67,83;62,86;58,73;50,71;26,40;42,00;58,50;28,00;55,75;54,55;56,00;55,27;49,00;54,75;55,50;54,00;Polska Norwegia;50,40;-11,29;72,00;18,00;0,00;1,00
papier;659;178;polska;kobieta;Norwegia; ;2012; ;ma³¿eñstwo;11,00;100,00;10,00;100,00;100,00;100,00;64,00;100,00;29,00;100,00;100,00;100,00;100,00;4,00;0,00;100,00;62,00;400,00;61,50;45,00;72,75;100,00;65,71;71,00;78,67; ;80,67;49,67;65,50;36,33;73,00;100,00;29,75;6,60;0,00;84,60;56,20;59,67;100,00;50,00;17,75;66,50;25,00;92,17;53,86;68,67;84,71;18,80;57,00;48,83;36,60;48,00; ;58,73; ;33,00;53,50;62,00;57,67;Polska Norwegia;68,40;29,57;63,40;100,00;0,00;1,00
papier;660;178;polska;mê¿czyzna;Norwegia; ;2012; ;ma³¿eñstwo;52,00;90,00;52,00;84,00;17,00;17,00;100,00;61,00;61,00;100,00;100,00;100,00;100,00;4,00;0,00;50,00;50,00;100,00;68,00;53,75;52,75;84,00;88,57;73,33;64,00; ;61,33;45,67;57,83;57,33;65,00;100,00;55,88;36,00;5,20;63,00;58,60;75,33;100,00;21,00;62,25;36,25;10,25;81,33;48,14;58,20;85,14;0,00;47,50;55,00;18,00;44,75;68,82;50,82;59,82;33,00;62,50;51,25;53,33;Polska Norwegia;57,00;9,43;82,00;100,00;0,00;1,00
papier;661;177;polska;kobieta;Norwegia; ;2010; ;inny zwi¹zek nieformalny;20,00;100,00;49,00;50,00;88,00;30,00;54,00;85,00;55,00;54,00;82,00;82,00;56,00;6,00;0,00;100,00;80,00;400,00;60,75;50,50;67,00;100,00;85,14;82,00;78,00; ;63,67;50,00;56,83;60,67;70,00;100,00;62,50;0,00;4,00;75,40;60,80;100,00;100,00; ; ; ; ;82,67;63,29;69,27;85,14;0,00;61,83;83,33;20,00;59,50;70,73;37,73;54,23;55,00;87,50;87,50;57,00;Polska Norwegia;74,20;4,00;80,00;100,00;0,00;1,00
papier;662;177;polska;mê¿czyzna;Norwegia; ;2009; ;inny zwi¹zek nieformalny;44,00;100,00;51,00;87,00;50,00;85,00;50,00;24,00;52,00;100,00;100,00;73,00;100,00;4,00;0,00;100,00;100,00;200,00;59,00;66,25;66,25;100,00;79,86;84,67;84,67; ;76,33;56,00;60,17;44,00;50,00;100,00;28,25;11,60;25,80;90,00;69,40;67,33;100,00; ; ; ; ;87,67;64,57;71,87;93,57;0,00;63,67; ;20,00;44,25;76,00; ; ;64,00; ;78,25;68,67;Polska Norwegia;76,40;7,71;80,00;100,00;0,00;1,00
papier;663;176;polska;kobieta;Norwegia; ; ; ;ma³¿eñstwo;79,00;100,00;100,00;48,00;48,00;48,00;100,00;75,00;100,00;100,00;100,00;100,00;100,00;6,00;0,00;100,00;100,00;500,00;49,00;30,00;53,25;100,00;60,71;61,33;76,00; ;37,33;76,67;30,33;22,67;56,00;100,00;40,13;36,40;21,80;86,60;58,00;68,67;89,50;25,50;51,00;55,00;17,00;98,33;68,00;77,73;78,86;47,00;47,50;35,50;10,00;12,50;82,82;57,73;70,27; ;27,75;65,25;42,00;Polska Norwegia;57,00;16,00;90,00;100,00;0,00;1,00
papier;664;176;polska;mê¿czyzna;Norwegia; ;2011; ;ma³¿eñstwo;100,00;100,00;100,00;52,00;23,00;100,00;52,00;52,00;100,00;100,00;100,00;100,00;100,00;6,00;0,00;100,00;100,00;100,00;93,75;81,50;87,50;100,00;100,00;68,00;84,00; ;100,00;14,67;92,67;25,67;53,50;100,00;39,63;34,40;21,60;68,40;49,60;68,00;93,00;16,75;55,25;47,50;0,00;89,67;80,43;78,67;85,71;0,00;83,33;24,83;0,80;17,50;66,09;59,64;62,86;40,00;0,00;87,25;100,00;Polska Norwegia;100,00;42,29;99,20;100,00;0,00;1,00
